Index Name,Date,Open,High,Low,Close,Date ,Open ,High ,Low ,Close ,Prev. Close ,Change ,% Change 
NIFTY BANK,25-May-23,43630.25,43719.85,43390.3,43681.4,25-May-23,13.1125,13.1325,8.1825,12.52,13.1125,-0.59,-4.52
NIFTY BANK,26-May-23,43765.35,44067.6,43588.8,44018,26-May-23,12.52,12.8575,11.7,11.9,12.52,-0.62,-4.95
NIFTY BANK,29-May-23,44276.8,44483.35,44193.95,44311.9,29-May-23,11.9,12.4925,8.8075,12.2975,11.9,0.4,3.34
NIFTY BANK,30-May-23,44277.35,44498.6,44207.5,44436.35,30-May-23,12.2975,12.38,11.7675,12.01,12.2975,-0.29,-2.34
NIFTY BANK,31-May-23,44318,44339.05,43822.7,44128.15,31-May-23,12.01,12.4675,11.58,11.9725,12.01,-0.04,-0.31
NIFTY BANK,01-Jun-23,44172.05,44179.95,43706.15,43790.2,01-Jun-23,11.9725,11.9725,11.22,11.5975,11.9725,-0.38,-3.13
NIFTY BANK,02-Jun-23,43997.3,44088.9,43812.55,43937.85,02-Jun-23,11.5975,11.735,10.86,11.125,11.5975,-0.47,-4.07
NIFTY BANK,05-Jun-23,44103.25,44266.15,44074.2,44101.65,05-Jun-23,11.125,11.335,10.3225,11.1375,11.125,0.01,0.11
NIFTY BANK,06-Jun-23,44156.7,44236.2,44009.7,44164.55,06-Jun-23,11.1375,11.6175,10.465,11.38,11.1375,0.24,2.18
NIFTY BANK,07-Jun-23,44318.7,44346.3,44143.5,44275.3,07-Jun-23,11.38,11.5375,9.6375,11.4425,11.38,0.06,0.55
NIFTY BANK,08-Jun-23,44208.3,44459.25,43917.9,43995.25,08-Jun-23,11.4425,11.5675,10.13,11.2575,11.4425,-0.19,-1.62
NIFTY BANK,09-Jun-23,44045.75,44220.1,43932.6,43989,09-Jun-23,11.2575,11.2975,10.3075,11.12,11.2575,-0.14,-1.22
NIFTY BANK,12-Jun-23,44035.2,44124.95,43874.05,43944.2,12-Jun-23,11.12,11.8025,10.5825,11.245,11.12,0.13,1.12
NIFTY BANK,13-Jun-23,43889.7,44138.15,43889.7,44079.85,13-Jun-23,11.245,11.25,9.99,11.11,11.245,-0.13,-1.2
NIFTY BANK,14-Jun-23,44181.65,44212.35,43956.15,43988,14-Jun-23,11.11,11.3675,10.6325,11.1625,11.11,0.05,0.47
NIFTY BANK,15-Jun-23,44054.35,44077.45,43397.5,43443.6,15-Jun-23,11.1625,11.37,9.6925,11.08,11.1625,-0.08,-0.74
NIFTY BANK,16-Jun-23,43583.35,44083.25,43536.95,43938.15,16-Jun-23,11.08,11.08,10.5575,10.84,11.08,-0.24,-2.17
NIFTY BANK,19-Jun-23,44015.3,44040.35,43501.4,43633.75,19-Jun-23,10.84,11.4975,10.33,11.225,10.84,0.38,3.55
NIFTY BANK,20-Jun-23,43597.55,43823.95,43345.95,43766.5,20-Jun-23,11.225,11.4375,10.5675,11.1325,11.225,-0.09,-0.82
NIFTY BANK,21-Jun-23,43894.4,43946.7,43698.95,43859.2,21-Jun-23,11.1325,11.4325,10.77,11.2925,11.1325,0.16,1.44
NIFTY BANK,22-Jun-23,43874.8,44042.15,43663.35,43724.85,22-Jun-23,11.2925,11.7125,10.6925,11.5475,11.2925,0.25,2.26
NIFTY BANK,23-Jun-23,43641.6,43824.1,43519.55,43622.9,23-Jun-23,11.5475,11.8375,11.1425,11.235,11.5475,-0.31,-2.71
